ID;ENLACE PERMANENTE;NOMBRE USUARIO;@;FECHA;RETWEETS;FAVORITO;MENCIONA;HASHTAGS;GEO;TEXTO;
1,20E+18;,https://twitter.com/juliovivanco3/status/1204873578233155585;,juliovivanco3;,None;,2019-12-11 21:20:21+00:00;0,2;0,4;,;,;,;",""b'Primer y m\xc3\xa1s grande parque recreacional JIPIRO Pionera en estudios universitarios a distancia Sede del FIAVL Festival de Artes Vivas ,Festival cultural mas grande del Ecuador PRIMER DINOSAURIO DESCUBIERTO EN EL ECUADOR SAMANASAURUS LOJAENSIS.'""";
;;;;;;;;;;;
1,20E+18;,https://twitter.com/danielsam_76/status/1203853393435004929;,danielsam_76;,None;,2019-12-09 01:46:30+00:00;0;0,1;,;,#FIAVL;,;",""b'Despu\xc3\xa9s de 4 #FIAVL (noviembre), en la cultural, musical y art\xc3\xadstica ciudad de Loja, no saldr\xc3\xa1n que lo \xc3\xbanico que nos queda ver en diciembre es a la tal Debora V\xe2\x82\xacg\xe2\x80\x99:(\xc2\xa3ara. Avisados'""";
;;;;;;;;;;;
1,20E+18;,https://twitter.com/Jorge8ast/status/1202976585684541441;,Jorge8ast;,panchoteran;,2019-12-06 15:42:22+00:00;0,2;0,2;,@luisevivanco @juanfervelasco;,;,;",""b'@luisevivanco Acotar que @juanfervelasco abri\xc3\xb3 el FIAVL 2019 con un concierto de gran Calidad. Podr\xc3\xada ser tambi\xc3\xa9n populismo. Aunque hubieron muchos cuestionamientos previos, al final nadie hablo de eso. """"No dejas de ser m\xc3\xbasico por ponerte un gafete de autoridad""""'""";
;;;;;;;;;;;
1,20E+18;,https://twitter.com/DanielElPinta/status/1202414750417772544;,DanielElPinta;,None;,2019-12-05 02:29:50+00:00;0,1;0,3;,;,#fiavl2019 #loja #ecuador #fiavl #smile #instagood #life #likeforlike #happy #instalike #followme #follow #instafollow #likeme #instamood #photooftheday #like4like #likelike #photo #photograph #comunication #urban #colors;,;,b'M\xc3\xa1s de lo que fue el #fiavl2019 \xe2\x80\xa2 \xe2\x80\xa2 \xe2\x80\xa2 ##loja #ecuador #fiavl #smile #instagood #life #likeforlike #happy #instalike #followme #follow #instafollow #likeme #instamood #photooftheday #like4like #likelike #photo #photograph #comunication #urban #colors';
;;;;;;;;;;;
1,20E+18;,https://twitter.com/gustavo_oso/status/1200626251263700993;,gustavo_oso;,None;,2019-11-30 04:02:59+00:00;0;0;,;,;,;",""b'GRACIAS MIL por la entrega, esfuerzo y sobre todo el cari\xc3\xb1o con el que se trabaj\xc3\xb3 este cuarto FIAVL 2019 y sin duda el agradecimiento especial por la confianza brindada a los lojanos que fuimos parte del equipo de\xe2\x80\xa6 https://www.instagram.com/p/B5eX8m8gxWL/?igshid=trm4tdba161c'""";
;;;;;;;;;;;
1,20E+18;,https://twitter.com/caguerreroabad/status/1199873352522960898;,caguerreroabad;,None;,2019-11-28 02:11:14+00:00;0,1;0,1;,@juanfervelasco;,;,;,b'@juanfervelasco para su mejor comprensi\xc3\xb3n y procesamiento del FIAVL';
;;;;;;;;;;;
1,20E+18;,https://twitter.com/tiago_furioso/status/1199811040474812416;,tiago_furioso;,oxemell;,2019-11-27 22:03:38+00:00;0;0,1;,;,;,;,b'Escreva seu nome: Tiago De olhos fechado: Tiago Com o cotovelo: Tiago Com o nariz: Tiago Com o queixo: tuago Com a boca: fiavl Com a testa: vrukr';
;;;;;;;;;;;
1,20E+18;,https://twitter.com/CapturLojaofic1/status/1199742816886366210;,CapturLojaofic1;,None;,2019-11-27 17:32:32+00:00;0,2;0,3;,@radiozapotillo @rengelito1979 @FransObaco @FestivalDeLoja;,#CapturInforma #FIAVL;,;",""b'#CapturInforma En @radiozapotillo con @rengelito1979 el presidente de la Captur-Loja @FransObaco hace una evaluaci\xc3\xb3n #FIAVL, es necesario mayor promoci\xc3\xb3n, esperamos que la Comisi\xc3\xb3n Veedora conformada para el @FestivalDeLoja, entregue los resultados de lo que fue este evento.'""";
;;;;;;;;;;;
1,20E+18;,https://twitter.com/festivaloffloja/status/1199728839485616128;,festivaloffloja;,None;,2019-11-27 16:36:59+00:00;0,2;0,4;,;,#Fiavl #OffLoja2019 #LojaParaElMundo #LojanosIlustres;,;,b'\xc2\xbfSab\xc3\xadas Qu\xc3\xa9? - Salvador Bustamante Celi. Conoce los datos m\xc3\xa1s relevantes de los Lojanos Ilustres a quienes rendimos homenaje en la IV edici\xc3\xb3n del FIAVL OFF. #Fiavl #OffLoja2019 #LojaParaElMundo #LojanosIlustres en\xe2\x80\xa6 https://www.instagram.com/p/B5YDXlFgEMM/?igshid=1gbsh1cbmzmk1';
;;;;;;;;;;;
1,20E+18;,https://twitter.com/dohnkan/status/1199435997819416577;,dohnkan;,None;,2019-11-26 21:13:20+00:00;0;0;,@YouTube;,;,;,b'Unidad Educativa Calasanz Loja Desfile FIAVL 2019 https://youtu.be/QEM9S6IsFFY v\xc3\xada @YouTube';
;;;;;;;;;;;
1,20E+18;,https://twitter.com/CapturLojaofic1/status/1199371102792880128;,CapturLojaofic1;,None;,2019-11-26 16:55:28+00:00;0,6;0,1;,@plustv25 @FransObaco @patoedg @HMunetonZ @revistacuenca @Captur_Azuay;,#FIAVL;,;",""b'|Ahora| Para @plustv25 el presidente de la Captur-Loja, @FransObaco informa sobre los resultados #FIAVL 2019, la capacidad hotelera y otros prestadores de servicio tur\xc3\xadstico de la localidad, no cumplieron con sus espectativas @patoedg @HMunetonZ @revistacuenca @Captur_Azuay'""";
;;;;;;;;;;;
1,20E+18;,https://twitter.com/jorgepaguay/status/1199170189985746946;,jorgepaguay;,None;,2019-11-26 03:37:07+00:00;0;0;,;,#ActualidadTuristicaEc;,;,b'#ActualidadTuristicaEc | \xe2\x80\x9cLos indicadores culturales del Fiavl se conocer\xc3\xa1n en diciembre\xe2\x80\x9d | m\xc3\xa1s \xe2\x96\xba https://ift.tt/2DfqdEP |';
;;;;;;;;;;;
